Company Name,TPIN,Employee Name,Employee NRC,Province
"Robinson, Clark and Nichols",1167062692,Shelby Mccoy,015072/21/4,Central
Townsend LLC,8248565575,Brandon Patterson,081911/80/3,Southern
Foley-Stuart,2224926951,Tiffany Lester,027882/19/7,Eastern
Marks-Madden,5406673062,Melissa May,055551/90/6,Muchinga
Ross-Perez,10974485585,Kimberly Lara,102449/88/6,Copperbelt
Wagner-Chase,2296358135,Jessica Figueroa,027400/91/2,Eastern
Morales-White,10188446617,Michael Brown,109406/74/7,Copperbelt
"Davidson, Herrera and Marks",2533902275,Brian Strickland,029073/79/7,Eastern
Evans LLC,4724162318,Kathleen Khan,044629/75/2,Lusaka
"Jones, Lewis and Martin",4468810533,Samantha Martinez,043755/34/6,Lusaka
Steele-Chandler,3556032119,Jordan Johns,034374/30/9,Luapula
"Wilson, Cooley and Jenkins",8267291668,Adrienne Krause,088253/19/2,Southern
"Austin, Roberts and Gomez",2744321156,Adam Turner,028848/38/9,Eastern
Mckay-Jones,7978356362,Eric Russell,073701/92/5,North-Western
Atkins LLC,10959642444,Raymond Richardson,102827/87/2,Copperbelt
FakeCorp 0,6317040604,Ghost Employee 0,04789447/69/1,Central
FakeCorp 1,7379144525,Ghost Employee 1,05115425/43/2,Luapula
FakeCorp 2,2334942138,Ghost Employee 2,04275218/32/1,Lusaka
FakeCorp 3,6495701686,Ghost Employee 3,08408363/33/2,Northern
FakeCorp 4,9833986594,Ghost Employee 4,02139142/51/1,Eastern
FakeCorp 5,1489199836,Ghost Employee 5,08243052/59/1,North-Western
FakeCorp 6,4413490223,Ghost Employee 6,08961225/40/1,Central
FakeCorp 7,8081986874,Ghost Employee 7,05731959/52/1,Lusaka
FakeCorp 8,2439364508,Ghost Employee 8,02495343/63/2,Northern
FakeCorp 9,5431042724,Ghost Employee 9,03128605/62/1,Central
FakeCorp 10,3664851575,Ghost Employee 10,02687685/41/2,Eastern
FakeCorp 11,4406936991,Ghost Employee 11,03291382/80/2,Lusaka
FakeCorp 12,3735903056,Ghost Employee 12,02914284/93/1,Copperbelt
FakeCorp 13,2807777956,Ghost Employee 13,07688751/82/2,Eastern
FakeCorp 14,9303765140,Ghost Employee 14,07834411/79/2,Luapula
