Company Name,TPIN,Employee Name,Employee NRC,Province,NAPSA STATUS
"Hill, Barker and Berg",2249969226,Luis Mccarthy,028924/86/5,Eastern,Not Registered
"Hill, Barker and Berg",2249969226,Victoria Johnson,029467/88/6,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Michael Carter,027927/58/3,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Randall Torres,025776/53/1,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Kenneth Valdez,027756/37/9,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Darlene Brown,021702/52/7,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Terry Saunders,026950/19/1,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Kristin Reed,022536/48/7,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Kenneth Miller,021803/55/6,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Mark Jenkins,022469/82/7,Eastern,Not Registered
"Bird, Carter and Anthony",2412987646,Brian Parker,021730/82/1,Eastern,Not Registered
Foster-Gordon,10578050663,Rachel Graves,103733/90/6,Copperbelt,Not Registered
Foster-Gordon,10578050663,Michael Lee,107234/46/9,Copperbelt,Not Registered
Foster-Gordon,10578050663,Donna Lambert,102879/90/2,Copperbelt,Not Registered
Foster-Gordon,10578050663,Jason Ingram,109288/91/2,Copperbelt,Not Registered
Foster-Gordon,10578050663,Brian Shaw,107228/89/3,Copperbelt,Not Registered
Foster-Gordon,10578050663,Jacqueline Jackson,104427/71/4,Copperbelt,Not Registered
Foster-Gordon,10578050663,Christopher Ramirez,104147/89/5,Copperbelt,Not Registered
Foster-Gordon,10578050663,Samantha Medina,107657/56/4,Copperbelt,Not Registered
Foster-Gordon,10578050663,Dana Kim,106763/59/9,Copperbelt,Not Registered
Kramer-York,9798678027,Amber Glover,099049/75/2,Western,Not Registered
Kramer-York,9798678027,Sandra Lloyd,094515/27/5,Western,Not Registered
Kramer-York,9798678027,Luke Carter,099628/47/1,Western,Not Registered
Kramer-York,9798678027,Amy Poole,093892/51/6,Western,Not Registered
"Lindsey, Wiggins and Diaz",4483357780,Melody Lopez,049334/55/2,Lusaka,Not Registered
"Charles, Donovan and Hernandez",2753141268,Yvonne Walsh,022241/49/2,Eastern,Not Registered
"Charles, Donovan and Hernandez",2753141268,David Wells,027299/86/4,Eastern,Not Registered
"Charles, Donovan and Hernandez",2753141268,Elaine Perez,022794/72/7,Eastern,Not Registered
"Charles, Donovan and Hernandez",2753141268,Latasha Knight,028815/24/2,Eastern,Not Registered
"Malone, Jacobson and Dunn",9852327949,David Pugh,096235/43/2,Western,Not Registered
"Malone, Jacobson and Dunn",9852327949,Amy Stewart,098529/23/4,Western,Not Registered
"Malone, Jacobson and Dunn",9852327949,Christina Gutierrez,099338/63/6,Western,Not Registered
"Malone, Jacobson and Dunn",9852327949,Jesus Roth,094991/87/7,Western,Not Registered
"Malone, Jacobson and Dunn",9852327949,Frank Young,099066/26/1,Western,Not Registered
"Malone, Jacobson and Dunn",9852327949,Miguel Bowman,097314/67/4,Western,Not Registered
"Malone, Jacobson and Dunn",9852327949,Samantha Jones,095068/38/2,Western,Not Registered
"Malone, Jacobson and Dunn",9852327949,Larry Morgan,092970/78/1,Western,Not Registered
Hayes-Vance,5421668473,Gabriel Smith,053255/88/9,Muchinga,Not Registered
Hayes-Vance,5421668473,Kelly Thomas,059824/73/4,Muchinga,Not Registered
Hayes-Vance,5421668473,John Carroll,052887/98/4,Muchinga,Not Registered
Hayes-Vance,5421668473,Raven Brown,058877/38/2,Muchinga,Not Registered
Hayes-Vance,5421668473,Benjamin Sanders,052807/55/6,Muchinga,Not Registered
Hughes Group,4585950773,Veronica Warren,047310/47/1,Lusaka,Not Registered
