Full Name,NRC,TPIN
Terri Sanchez,295511/31/1,8186415131
Brian Graham,521697/12/5,3981474431
Amber Jackson,663567/36/2,9877259242
Jordan Austin,506204/24/5,5283015006
Kirsten Price,174254/17/9,1189668107
Julia Carlson,108995/81/8,8885042277
Samantha Morrison,501745/82/2,3207646407
Pamela Green,539765/39/6,9876719891
Kristie Gonzales,150059/66/8,4048568796
Jennifer Rollins,287293/33/1,1868516470
Jenna Bond,171900/48/1,2988062307
Jacob Johnson,595877/82/3,5700289932
Henry Ryan,546761/39/1,2237536077
Karen Rodriguez,832470/49/4,3270741127
Anita Yang,262615/25/6,9255793628
Donna Stevenson,830936/38/6,6495633228
Christine Brooks,808279/13/8,7697073301
Dillon Mcdonald,375586/76/8,4060338521
George Dunn,337519/77/2,1259977889
Diane Higgins,299382/79/1,8926666951
Adam Martinez,700927/26/7,6035758126
James Hernandez,792397/64/8,5602898185
Nicholas Gallagher,295331/62/9,5722919133
Alyssa Davis,550616/30/4,4934713173
Tamara Morales,534035/82/3,2062164879
Bryan Allen,180431/88/7,8591955329
Lauren Davis,485327/73/4,8382571623
James Oneill,895124/55/1,6524377834
Benjamin Henry,241512/29/9,3667251146
Robin Adams,200134/77/4,3938291389
Daniel Hendrix,852260/90/4,8967262259
Michael Adams,476594/22/2,3759360324
Timothy Moore,918932/79/6,6469647109
Chase Adams,623545/72/9,5602198062
Tracy Clark,639410/50/3,4415053208
Vincent Moore,625812/81/5,2809736765
Bobby Adams,605002/47/5,4336002114
Alvin Soto,475559/48/2,5940336683
Stephanie Scott,302588/63/7,6573239356
Margaret Vaughan,254464/68/6,2142780795
Jamie Byrd,258459/33/2,9597887353
Andrea Mcdonald,212090/25/6,3245286754
Ronald Lyons,909268/35/9,2916299423
Anna Green,704145/79/7,2996283965
Anthony Marquez,707072/19/1,6933261601
Heather Henry,625125/34/3,3223179933
Angel Cooper,563435/27/4,6831917503
Margaret Williams,805386/50/9,9963367443
John Norris,748942/55/5,8666106265
Bryan Little,670018/93/1,4582703173
Samantha Phillips,499824/77/7,5929114701
Alex Hess,122534/27/3,2060553986
Lacey Howard,207407/99/7,5885207451
Kyle Reid,993131/43/4,2727036874
Thomas Hudson,652963/36/1,4600737374
Glenn Garza,752602/50/9,1104183476
Alyssa Williams,892492/36/3,4864969469
Samuel Ramos,927885/24/1,2852298895
Cindy Mcdonald,800339/71/5,6403357645
Sheila Higgins,859272/92/9,3337469651
Laura Mills,985622/70/3,4990285012
Melinda Baker,564924/46/5,2758670673
Kimberly Roberts,684476/69/6,7908953734
Kiara Jones,177182/56/7,3641731363
Steven Rodriguez,462600/21/6,8503467542
Elizabeth Thomas,818673/37/3,8220599004
Matthew Barry,322242/72/6,5115646594
Gregory Bennett,315626/44/7,3334883532
Robert Long,317793/81/8,5938295241
Mary Huang,193117/58/8,4337732791
Joseph Escobar,267710/57/2,6822257117
Carl Wheeler,771179/30/3,5375910757
Susan Burton,460938/81/6,1623841143
Oscar Chavez,928832/11/3,3361066069
Leonard Ward,630368/50/8,1555849511
Brittney Kemp,125304/30/2,6923623754
Betty Morrow,648380/15/6,2557520216
Paul Conley,551940/39/5,2646062359
Susan Ray,856469/69/9,5401630643
Matthew Brown,691065/26/8,3807693222
Kyle Watts,901509/58/5,6278593656
Stephen Wilson,698881/65/8,3093959510
Paul White,292677/64/9,3928932910
Claudia Johnson,707758/95/8,1188405871
Robert Williams,123605/45/5,5182026348
Christine Shea,589831/86/6,1301936593
Jeffery Romero,761287/67/2,3535542544
James Castro,575315/43/5,6931203627
Sandra Peters,270235/72/6,5666052764
Ricardo Scott,600942/68/1,5435903321
Alexander Hall PhD,778102/31/5,7295537039
Joanna Huff,345836/19/1,6398143506
Lisa Torres,405521/15/9,7240630211
Kevin Griffith,920965/48/4,2622051724
Ryan York,366470/91/9,9470053326
Laura Martin,630552/60/8,3011337319
Jon Acevedo,365854/97/1,9460129568
William Hunt,995498/40/1,2071810575
Tina Collins,860941/15/8,7921163791
Michael Moreno,466289/54/6,2175972235
