Full Name,Province,NRC,TPIN
Brittany Jones,Muchinga,054331/89/6,05874309001
Collin Newman,Copperbelt,103363/72/1,10952018927
Michael Rogers,Copperbelt,105753/50/7,10323323372
Jessica Steele,Western,094124/84/3,09825621751
Kevin Golden,Copperbelt,109117/48/2,10323915541
Sandra Small,North-Western,076873/50/5,07973815475
Jose Lee,Eastern,021088/92/2,02793481514
Jason Reyes,North-Western,077178/88/6,07241197629
James Pratt,Southern,085070/57/4,08356096463
Sean Cervantes,North-Western,073222/26/2,07307535898
Juan Torres,Luapula,039292/83/6,03699356560
Colleen Ortiz,Eastern,029627/54/8,02895208371
William Malone,Central,017811/84/9,01430037925
Jennifer Hunter,North-Western,073568/56/3,07665440397
Monica Russell,Copperbelt,109225/88/7,10737870882
Nancy Williams,Central,014640/27/1,01234260585
Shannon Serrano,Lusaka,041501/69/9,04959319487
Joseph Blake,Southern,084236/96/4,08636424337
Pamela Burke,Western,091529/86/1,09633861262
Michael Wilson,Muchinga,056556/91/8,05209325807
Sharon Bell,Northern,068894/45/3,06517349586
Frank Sheppard,Western,099080/86/8,09531616194
Diana Berry,Muchinga,058822/14/9,05433457702
Paula George,Copperbelt,109164/37/4,10855030367
Steven Shaw,Eastern,024067/46/5,02683464986
Bradley Hughes,Copperbelt,107364/62/8,10158062257
Amy Kelly,Luapula,034271/51/5,03666534826
David Garrison,Central,018552/46/3,01421241162
Donald Edwards,Eastern,027240/94/2,02431262062
Jeffrey Garcia,Lusaka,047825/44/1,04960845061
Dr. Amber Snow,Northern,063733/22/4,06271508634
Samantha Richards,Luapula,035318/16/6,03712660096
Patrick Rogers,Northern,063141/62/2,06275684350
Veronica Kidd,Muchinga,054244/72/7,05859980977
Kim Adkins,Muchinga,057106/26/5,05174607592
Cassandra Huynh,Northern,068815/42/6,06572870379
Tara Welch,Lusaka,046112/25/7,04607700315
Tony Kirk,North-Western,078799/19/1,07106764149
Maureen Garcia,Southern,088465/80/4,08544030414
Kaitlyn Smith,Southern,081892/41/8,08335241857
Matthew Johnson,Eastern,029768/44/5,02145515392
Eric Parks,Eastern,024822/97/3,02484360739
Michael Harding,Copperbelt,109892/34/2,10421114001
Mason Ramirez,Western,093571/74/2,09213758288
Brian Turner,Western,096649/19/8,09922813096
Michele Mendez,North-Western,079400/41/2,07660373333
Angela Jones,Western,093405/34/2,09777202147
Lydia Hanna,Northern,069086/96/2,06541137160
Walter Barnes,Lusaka,042893/51/8,04977255156
Alan Pruitt,Northern,064642/88/1,06770181407
Dr. Anthony Patrick,Muchinga,059913/25/2,05651605729
Trevor Weaver,Northern,067785/24/7,06685142977
Melissa Rodgers,Copperbelt,107964/60/4,10554735237
Donald Mitchell,Copperbelt,108516/51/6,10781655283
Diane Nichols,Muchinga,052367/64/5,05584781334
Jacob Moore,Northern,064311/12/4,06841881445
Ruben Cooper,Luapula,039873/74/3,03771844880
Jacob Wilcox,Southern,089605/15/7,08983926603
Charles Mills,Eastern,022945/50/5,02591944234
Sean Cook,Southern,089882/78/8,08400483569
Daniel Dixon,Central,018871/18/5,01198603359
Christian Davidson,Lusaka,041478/87/2,04953608615
Dorothy Collins,North-Western,077659/79/3,07694002073
Tiffany Wilkinson,Western,095172/91/4,09467316240
Travis Hicks,Lusaka,048280/69/5,04213780616
Stacy Smith,Copperbelt,106494/69/2,10496471964
Rick Meadows,Luapula,031853/35/4,03879293536
Eric Campbell,Southern,083464/60/8,08961414636
Ryan Brandt,Luapula,038267/52/3,03501984725
Jessica Collins,Eastern,028656/74/5,02219524959
Jose Jefferson,Eastern,025066/30/3,02818984954
Nicholas Maynard,Lusaka,043501/83/3,04915591512
Jason Lyons,Luapula,035766/92/5,03204126971
Jennifer Payne,Eastern,026792/85/8,02338450566
Ashley Chavez,Central,011078/94/7,01451612711
Brad Potter,Lusaka,043252/29/5,04736351671
Jason Lewis,North-Western,072304/75/4,07574545895
Jeremy Harris,Lusaka,043568/24/4,04437435858
Cindy Thomas,Copperbelt,107778/44/8,10147755118
James Lee,North-Western,073573/26/6,07325066763
Robert Sosa,Eastern,027246/85/5,02659555787
Matthew Simpson,North-Western,073292/53/1,07289465746
Paige Hunt,Southern,083553/85/1,08553317794
Larry Bright,Muchinga,055940/37/6,05210593684
Brian Reyes,Central,012506/47/1,01814945859
Cameron Hoffman,Muchinga,052412/51/5,05897274894
Jonathan Osborn,Eastern,024795/95/1,02860937947
Morgan Morales,Muchinga,054448/22/2,05634441351
Kristin Lopez,Southern,087155/48/9,08119279575
Anna Conway,Muchinga,052948/63/7,05134916374
Michael Hernandez,Northern,069586/50/5,06630161633
Erika Benjamin,Luapula,038865/17/4,03824103381
Jason Lee,Southern,089538/49/1,08206314595
Robert Ford,North-Western,074482/68/5,07350500331
Cameron Burns,Lusaka,045144/11/9,04656299379
Brendan Campbell,Muchinga,055467/11/8,05751122105
Carol Obrien,Western,091640/98/9,09443034641
Michael Buck,Lusaka,049711/69/2,04251835474
Jennifer Rivera,Muchinga,052875/63/2,05100038836
Paula Davis,Eastern,026995/17/7,02710280226
