Full Name,NRC,TPIN,Province
Brittany Jones,054331/89/6,5874309001,Muchinga
Collin Newman,103363/72/1,10952018927,Copperbelt
Michael Rogers,105753/50/7,10323323372,Copperbelt
Jessica Steele,094124/84/3,9825621751,Western
Kevin Golden,109117/48/2,10323915541,Copperbelt
Sandra Small,076873/50/5,7973815475,North-Western
Jose Lee,021088/92/2,2793481514,Eastern
Jason Reyes,077178/88/6,7241197629,North-Western
James Pratt,085070/57/4,8356096463,Southern
Sean Cervantes,073222/26/2,7307535898,North-Western
Juan Torres,039292/83/6,3699356560,Luapula
Colleen Ortiz,029627/54/8,2895208371,Eastern
William Malone,017811/84/9,1430037925,Central
Jennifer Hunter,073568/56/3,7665440397,North-Western
Monica Russell,109225/88/7,10737870882,Copperbelt
Nancy Williams,014640/27/1,1234260585,Central
Shannon Serrano,041501/69/9,4959319487,Lusaka
Joseph Blake,084236/96/4,8636424337,Southern
Pamela Burke,091529/86/1,9633861262,Western
Michael Wilson,056556/91/8,5209325807,Muchinga
Sharon Bell,068894/45/3,6517349586,Northern
Frank Sheppard,099080/86/8,9531616194,Western
Diana Berry,058822/14/9,5433457702,Muchinga
Paula George,109164/37/4,10855030367,Copperbelt
Steven Shaw,024067/46/5,2683464986,Eastern
Bradley Hughes,107364/62/8,10158062257,Copperbelt
Amy Kelly,034271/51/5,3666534826,Luapula
David Garrison,018552/46/3,1421241162,Central
Donald Edwards,027240/94/2,2431262062,Eastern
Jeffrey Garcia,047825/44/1,4960845061,Lusaka
Dr. Amber Snow,063733/22/4,6271508634,Northern
Samantha Richards,035318/16/6,3712660096,Luapula
Patrick Rogers,063141/62/2,6275684350,Northern
Veronica Kidd,054244/72/7,5859980977,Muchinga
Kim Adkins,057106/26/5,5174607592,Muchinga
Cassandra Huynh,068815/42/6,6572870379,Northern
Tara Welch,046112/25/7,4607700315,Lusaka
Tony Kirk,078799/19/1,7106764149,North-Western
Maureen Garcia,088465/80/4,8544030414,Southern
Kaitlyn Smith,081892/41/8,8335241857,Southern
Matthew Johnson,029768/44/5,2145515392,Eastern
Eric Parks,024822/97/3,2484360739,Eastern
Michael Harding,109892/34/2,10421114001,Copperbelt
Mason Ramirez,093571/74/2,9213758288,Western
Brian Turner,096649/19/8,9922813096,Western
Michele Mendez,079400/41/2,7660373333,North-Western
Angela Jones,093405/34/2,9777202147,Western
Lydia Hanna,069086/96/2,6541137160,Northern
Walter Barnes,042893/51/8,4977255156,Lusaka
Alan Pruitt,064642/88/1,6770181407,Northern
Dr. Anthony Patrick,059913/25/2,5651605729,Muchinga
Trevor Weaver,067785/24/7,6685142977,Northern
Melissa Rodgers,107964/60/4,10554735237,Copperbelt
Donald Mitchell,108516/51/6,10781655283,Copperbelt
Diane Nichols,052367/64/5,5584781334,Muchinga
Jacob Moore,064311/12/4,6841881445,Northern
Ruben Cooper,039873/74/3,3771844880,Luapula
Jacob Wilcox,089605/15/7,8983926603,Southern
Charles Mills,022945/50/5,2591944234,Eastern
Sean Cook,089882/78/8,8400483569,Southern
Daniel Dixon,018871/18/5,1198603359,Central
Christian Davidson,041478/87/2,4953608615,Lusaka
Dorothy Collins,077659/79/3,7694002073,North-Western
Tiffany Wilkinson,095172/91/4,9467316240,Western
Travis Hicks,048280/69/5,4213780616,Lusaka
Stacy Smith,106494/69/2,10496471964,Copperbelt
Rick Meadows,031853/35/4,3879293536,Luapula
Eric Campbell,083464/60/8,8961414636,Southern
Ryan Brandt,038267/52/3,3501984725,Luapula
Jessica Collins,028656/74/5,2219524959,Eastern
Jose Jefferson,025066/30/3,2818984954,Eastern
Nicholas Maynard,043501/83/3,4915591512,Lusaka
Jason Lyons,035766/92/5,3204126971,Luapula
Jennifer Payne,026792/85/8,2338450566,Eastern
Ashley Chavez,011078/94/7,1451612711,Central
Brad Potter,043252/29/5,4736351671,Lusaka
Jason Lewis,072304/75/4,7574545895,North-Western
Jeremy Harris,043568/24/4,4437435858,Lusaka
Cindy Thomas,107778/44/8,10147755118,Copperbelt
James Lee,073573/26/6,7325066763,North-Western
Robert Sosa,027246/85/5,2659555787,Eastern
Matthew Simpson,073292/53/1,7289465746,North-Western
Paige Hunt,083553/85/1,8553317794,Southern
Larry Bright,055940/37/6,5210593684,Muchinga
Brian Reyes,012506/47/1,1814945859,Central
Cameron Hoffman,052412/51/5,5897274894,Muchinga
Jonathan Osborn,024795/95/1,2860937947,Eastern
Morgan Morales,054448/22/2,5634441351,Muchinga
Kristin Lopez,087155/48/9,8119279575,Southern
Anna Conway,052948/63/7,5134916374,Muchinga
Michael Hernandez,069586/50/5,6630161633,Northern
Erika Benjamin,038865/17/4,3824103381,Luapula
Jason Lee,089538/49/1,8206314595,Southern
Robert Ford,074482/68/5,7350500331,North-Western
Cameron Burns,045144/11/9,4656299379,Lusaka
Brendan Campbell,055467/11/8,5751122105,Muchinga
Carol Obrien,091640/98/9,9443034641,Western
Michael Buck,049711/69/2,4251835474,Lusaka
Jennifer Rivera,052875/63/2,5100038836,Muchinga
Paula Davis,026995/17/7,2710280226,Eastern
Thomas Patrick,075679/80/1,63750869645,Lusaka
Cody Rose,075679/80/1,23308083535,Muchinga
Debra Roberts,075679/80/1,19345937615,Southern
Joshua Velazquez,075679/80/1,12220333633,Muchinga
Brittany Hawkins,075679/80/1,80790146545,Eastern
Heidi Moore,084147/74/7,69724016055,Lusaka
Stephen Hamilton,084147/74/7,84412016023,Muchinga
Taylor Washington,084147/74/7,10605229464,Copperbelt
Rita Black,084147/74/7,53653731759,Eastern
Leslie Pratt,084147/74/7,61746346129,Copperbelt
Stephen Ramsey,048441/58/8,36649554664,North-Western
Shannon Stevens,048441/58/8,46310130026,North-Western
Barry Cameron,048441/58/8,94476941933,Copperbelt
Sean Evans,048441/58/8,18339251464,Luapula
Erik Blake,048441/58/8,36075387516,Central
Brandon Curry,97/305908/1,82717689175,Muchinga
Samantha Mason,87/824587/1,11988149011,Copperbelt
Colleen Williamson,15/938567/1,34866449218,Southern
Mary Smith,01/643475/1,75886490516,Northern
Tyler Martinez,26/700965/1,57799837420,Northern
David Williams,07/227309/1,24196015833,Northern
Amanda Acosta,87/172982/1,74525708557,Central
James Jackson,99/109404/1,24372810462,Eastern
Isabella Rice,39/130051/1,99853372706,Lusaka
Diane Thomas,23/285850/1,54452332448,Central
Amanda Ramsey,54/986113/1,72325885907,Northern
Nathan Phelps,48/531329/1,12073797883,Western
Donna Taylor,96/631902/1,92397033116,Western
Thomas Mullen,12/421174/1,71426278450,Western
Nicole Lee,76/534835/1,67216098470,Lusaka
Melissa Morris,32/191863/1,67303887721,Luapula
Stephen Byrd,77/465109/1,68201283800,Central
Jason Hughes,33/264712/1,14661542073,Muchinga
Stephanie Glover,02/723849/1,58422096048,Copperbelt
Dan Smith,43/437253/1,11867495634,North-Western
Michael Brown,1234567890,15815714198,Lusaka
Rhonda Curry,99/999999/ABC,67544909480,Northern
Robert Stephenson,07-123456/1,40208514495,Copperbelt
Bradley Collins,AB/123456/7,84624836263,Muchinga
Jordan Martinez,10/12345/1,21116987085,Central
James Gonzalez,01_123456/7,47999221150,Muchinga
Michael Chase,10/12X456/8,27915699565,Central
Nicole Maxwell,!!/123456/9,46603190791,Western
Anne Lawson MD,00/1234/0,65801713399,Lusaka
Stephanie Stewart,10//123456/1,69855880968,Central
Jason Hall,07/1234567,83564784368,Central
Maria Smith,77.123456.1,42859663824,Central
Donald Cox,05/123456789,80889903938,Central
Kevin Travis,12/abc123/9,30733262909,Southern
Kathryn Lopez,11/000000/0,91934270110,Western
Jonathan Mclaughlin,0A/123456/1,37828996166,Eastern
Alexis Wood,04/1A3456/2,10261589500,Muchinga
