Company Name,TPIN,Employee Name,Employee NRC,Province
James Ltd,08826355839,Cynthia Castillo,081760/37/1,Southern
James Ltd,08826355839,Brenda Jackson,085858/13/6,Southern
James Ltd,08826355839,Kimberly Griffith,087665/61/8,Southern
James Ltd,08826355839,Jeremy Santiago,082270/91/3,Southern
James Ltd,08826355839,Mary Edwards,084940/64/5,Southern
Murphy Ltd,09280799204,Robert Washington,098947/39/3,Western
Murphy Ltd,09280799204,Dana Medina,094982/73/8,Western
Murphy Ltd,09280799204,Rodney Morton,094849/61/4,Western
Reed Inc,02896916410,Sarah French,022283/68/6,Eastern
Chambers-Hood,05456297349,Erin Murphy,058718/77/2,Muchinga
Chambers-Hood,05456297349,Kimberly Smith,058117/47/2,Muchinga
Lee-Shepherd,08548033823,Christopher Rodriguez,084536/81/5,Southern
Lee-Shepherd,08548033823,Marissa Wilson,085178/49/3,Southern
Lee-Shepherd,08548033823,Richard Griffin,088121/32/7,Southern
Lee-Shepherd,08548033823,Steven Alexander,082318/91/6,Southern
Lee-Shepherd,08548033823,Robert Sanders,088225/65/7,Southern
Lee-Shepherd,08548033823,Tammy Hudson,085116/26/9,Southern
Lee-Shepherd,08548033823,Elizabeth Johnson,089705/69/9,Southern
Lee-Shepherd,08548033823,Jessica Williams,086943/27/5,Southern
Mueller-Smith,03193946431,Jeremy Armstrong,038368/60/6,Luapula
Mueller-Smith,03193946431,Elizabeth Mitchell,038615/51/1,Luapula
Mueller-Smith,03193946431,Brittany Morton,036691/45/4,Luapula
Mueller-Smith,03193946431,Jonathan Taylor,038316/92/1,Luapula
Mueller-Smith,03193946431,Charles Lopez,038144/61/2,Luapula
Mueller-Smith,03193946431,Jackie Smith,037683/70/4,Luapula
Nicholson-Cruz,08911328136,Miranda Cunningham,081392/90/6,Southern
Nicholson-Cruz,08911328136,Timothy Shaw,081808/64/7,Southern
Nicholson-Cruz,08911328136,Wanda Burns,081250/77/4,Southern
Nicholson-Cruz,08911328136,Robert Cordova,082582/58/7,Southern
Nicholson-Cruz,08911328136,Stephen Woods,084947/31/6,Southern
Nicholson-Cruz,08911328136,Kayla Shepard,087546/29/2,Southern
Barry PLC,02842669604,Lisa White,029897/69/3,Eastern
Myers and Sons,08139723536,Charles Walker,087247/10/6,Southern
Chapman-Marquez,05249347732,Gina Lewis,058232/75/6,Muchinga
Chapman-Marquez,05249347732,Adam Turner,052270/20/2,Muchinga
Henderson Inc,07438004920,Joseph Brown,072822/71/8,North-Western
Henderson Inc,07438004920,Nancy Jones,073920/39/1,North-Western
Henderson Inc,07438004920,Taylor Ball,076416/23/4,North-Western
Henderson Inc,07438004920,Phillip Johnson,073235/37/2,North-Western
Henderson Inc,07438004920,William Rice,074396/31/1,North-Western
Henderson Inc,07438004920,Kristi Spears,073908/50/7,North-Western
Henderson Inc,07438004920,Adrian Ponce,079174/57/7,North-Western
"Griffin, Moreno and Villegas",01154200126,Jill Velez,015485/11/3,Central
Hansen Group,04689277986,Paul Hernandez,043577/34/4,Lusaka
Hansen Group,04689277986,Steven Lin,041594/80/3,Lusaka
Hansen Group,04689277986,Courtney Williams,049986/21/4,Lusaka
Hansen Group,04689277986,Cindy Roy,047421/58/5,Lusaka
Hansen Group,04689277986,Melissa Moore,044941/49/8,Lusaka
Hansen Group,04689277986,Johnny Zavala,042672/20/5,Lusaka
Hansen Group,04689277986,Megan Willis,042939/80/9,Lusaka
"Murphy, Lopez and Daniel",04397050147,George Andersen,049472/42/3,Lusaka
"Murphy, Lopez and Daniel",04397050147,Christopher Moss,046863/20/9,Lusaka
"Murphy, Lopez and Daniel",04397050147,Taylor Frey,042218/37/8,Lusaka
"Murphy, Lopez and Daniel",04397050147,Matthew Hernandez,049882/10/4,Lusaka
"Murphy, Lopez and Daniel",04397050147,Natalie Floyd,044379/49/7,Lusaka
"Murphy, Lopez and Daniel",04397050147,Alexander Bentley,046499/17/9,Lusaka
"Murphy, Lopez and Daniel",04397050147,Brian Key,048972/53/9,Lusaka
"Murphy, Lopez and Daniel",04397050147,John Le,046451/90/8,Lusaka
"Murphy, Lopez and Daniel",04397050147,Teresa Waters,044567/60/3,Lusaka
"Murphy, Lopez and Daniel",04397050147,Andrea Thompson,047600/94/4,Lusaka
Forbes-Finley,02566273195,Thomas Reyes,028907/41/9,Eastern
Forbes-Finley,02566273195,Stephen Anderson,021266/22/5,Eastern
Forbes-Finley,02566273195,Michael Garcia,027280/22/4,Eastern
"Payne, Graves and Scott",03412989378,Amanda Henderson MD,038363/43/1,Luapula
"Payne, Graves and Scott",03412989378,Beverly Jordan,037116/13/2,Luapula
"Payne, Graves and Scott",03412989378,Bonnie Phillips,034771/68/3,Luapula
"Payne, Graves and Scott",03412989378,Mary Moore,033181/40/5,Luapula
"Payne, Graves and Scott",03412989378,Johnathan Schultz,037026/76/4,Luapula
"Payne, Graves and Scott",03412989378,Joshua Wong Jr.,035693/16/2,Luapula
"Payne, Graves and Scott",03412989378,Edward Anderson,038434/72/3,Luapula
Nelson-Gallagher,10960657083,Andrew Simpson,103414/13/9,Copperbelt
Nelson-Gallagher,10960657083,Carolyn Sims,104163/94/6,Copperbelt
Nelson-Gallagher,10960657083,Jennifer Austin,106858/73/1,Copperbelt
Nelson-Gallagher,10960657083,James Myers,102208/15/7,Copperbelt
Nelson-Gallagher,10960657083,John Reyes,103102/77/1,Copperbelt
Nelson-Gallagher,10960657083,Christopher Rodriguez,101838/26/2,Copperbelt
Nelson-Gallagher,10960657083,Felicia Barnes,103128/54/7,Copperbelt
Nelson-Gallagher,10960657083,Theresa Pacheco,102983/74/1,Copperbelt
Nelson-Gallagher,10960657083,Michael Graham,101475/19/7,Copperbelt
"Brooks, Dickerson and King",05681475775,Nancy Williamson,052970/15/7,Muchinga
"Brooks, Dickerson and King",05681475775,Sally Hodges,053213/95/1,Muchinga
"Brooks, Dickerson and King",05681475775,Kelsey Holmes,054244/53/3,Muchinga
"Brooks, Dickerson and King",05681475775,Dr. Kristen Floyd MD,051197/43/4,Muchinga
Deleon Group,03476360839,Marie Lane,033011/67/7,Luapula
Deleon Group,03476360839,Thomas Henderson,037032/10/9,Luapula
Deleon Group,03476360839,Michael Jackson,035545/42/4,Luapula
Deleon Group,03476360839,Christopher Mccarty,032033/36/7,Luapula
Deleon Group,03476360839,Joanna Banks,033877/16/4,Luapula
Deleon Group,03476360839,Melissa Kramer,035499/42/7,Luapula
Deleon Group,03476360839,Jason Shelton,035046/57/9,Luapula
Deleon Group,03476360839,Brian Gregory,031063/28/3,Luapula
Deleon Group,03476360839,Stacey Jones,034014/50/1,Luapula
Guerra-Davis,06296634703,Chad Cook,069760/53/2,Northern
Guerra-Davis,06296634703,Catherine Mccarthy,062067/49/4,Northern
Guerra-Davis,06296634703,Tiffany Lopez,067473/56/2,Northern
Guerra-Davis,06296634703,Gary Dean,068696/41/1,Northern
Guerra-Davis,06296634703,Amanda Rodriguez,068130/27/7,Northern
Briggs-Wu,05952155015,Gerald Owens,052522/23/2,Muchinga
Briggs-Wu,05952155015,Matthew Howard,059065/18/8,Muchinga
Briggs-Wu,05952155015,Logan York,057019/73/2,Muchinga
Briggs-Wu,05952155015,Patty Dalton,056546/30/4,Muchinga
Ramirez-Herring,01890647272,Mrs. Abigail Coleman,011532/72/3,Central
Ramirez-Herring,01890647272,Kelly Henderson,019615/81/8,Central
Ramirez-Herring,01890647272,James Rojas,011791/74/8,Central
Ramirez-Herring,01890647272,Michael Hughes,016810/84/3,Central
Ramirez-Herring,01890647272,Barbara Medina,012054/72/7,Central
Ramirez-Herring,01890647272,Susan Hampton,012092/54/2,Central
Ramirez-Herring,01890647272,William Gutierrez,015843/52/3,Central
Ramirez-Herring,01890647272,Kathy Rasmussen,019792/14/5,Central
Zimmerman Ltd,10405119362,Henry Atkinson,102222/59/3,Copperbelt
Zimmerman Ltd,10405119362,Matthew Gardner,102268/36/1,Copperbelt
Zimmerman Ltd,10405119362,Stephanie White,104399/48/5,Copperbelt
Zimmerman Ltd,10405119362,Laura Washington,102388/52/5,Copperbelt
Zimmerman Ltd,10405119362,Thomas Morales,106083/30/5,Copperbelt
"Wyatt, Hamilton and Barry",06941835856,Dennis Cook,067967/82/4,Northern
"Wyatt, Hamilton and Barry",06941835856,Ryan Brown,063292/69/2,Northern
"Wyatt, Hamilton and Barry",06941835856,Chad Bernard,065128/45/2,Northern
"Wyatt, Hamilton and Barry",06941835856,Michael Moore,065601/27/8,Northern
"Wyatt, Hamilton and Barry",06941835856,Michael Bailey,063728/56/9,Northern
"Ramirez, Davis and Burgess",05968440696,Shannon Henry,059120/89/2,Muchinga
"Ramirez, Davis and Burgess",05968440696,Gabriela Preston,057118/19/5,Muchinga
"Ramirez, Davis and Burgess",05968440696,Carl Johnson,055755/85/9,Muchinga
"Ramirez, Davis and Burgess",05968440696,Ethan Kirk,055819/48/4,Muchinga
Bowen Inc,08262272583,Rita Wallace,087279/60/7,Southern
Mejia-Duncan,03375453922,Seth Barnett,036027/14/7,Luapula
"Miller, Saunders and Francis",08786163922,Andre Chapman,081840/84/3,Southern
"Miller, Saunders and Francis",08786163922,Lori Weaver,083279/66/1,Southern
"Miller, Saunders and Francis",08786163922,Jerry Jennings,086305/60/6,Southern
"Miller, Saunders and Francis",08786163922,Thomas Pearson,089568/26/2,Southern
"Miller, Saunders and Francis",08786163922,Gene Johnson,084622/72/1,Southern
Chen Ltd,02625584773,Claire Sanchez,024560/69/6,Eastern
"House, Walters and Berg",07956678072,Daisy Vasquez,072208/72/4,North-Western
"House, Walters and Berg",07956678072,Kyle Jones,076156/89/5,North-Western
"House, Walters and Berg",07956678072,Patricia Randolph,079784/66/6,North-Western
"House, Walters and Berg",07956678072,Kyle Foster,078132/63/2,North-Western
"House, Walters and Berg",07956678072,Maria Andersen,079036/41/3,North-Western
"House, Walters and Berg",07956678072,Jennifer Jacobson,071720/78/2,North-Western
"House, Walters and Berg",07956678072,Christopher Dennis,077471/68/5,North-Western
"House, Walters and Berg",07956678072,Colin Rogers,073297/85/8,North-Western
"House, Walters and Berg",07956678072,Kaylee Moore,078480/84/1,North-Western
Murphy-Walker,10750099351,Corey Perry,103737/42/9,Copperbelt
Murphy-Walker,10750099351,Michael Mcfarland,101790/80/7,Copperbelt
Murphy-Walker,10750099351,Cassandra Yang,107765/30/2,Copperbelt
Murphy-Walker,10750099351,Jennifer Jackson,109837/44/9,Copperbelt
Murphy-Walker,10750099351,Crystal Reynolds,105347/36/1,Copperbelt
Murphy-Walker,10750099351,Anna Brennan,102514/51/3,Copperbelt
Murphy-Walker,10750099351,Brenda Daniel,104436/52/4,Copperbelt
Murphy-Walker,10750099351,Desiree Norris,107605/38/4,Copperbelt
"Fox, Hicks and Lee",06737375181,Peter Johnson,066871/64/3,Northern
"Johnson, Brown and Hartman",08464209238,Brandon Delacruz,083559/19/5,Southern
"Johnson, Brown and Hartman",08464209238,Michael Brown,081647/39/5,Southern
"Johnson, Brown and Hartman",08464209238,Terry Chase,084089/55/7,Southern
"Johnson, Brown and Hartman",08464209238,Janice Hamilton,081995/66/1,Southern
"Johnson, Brown and Hartman",08464209238,Brittany Garcia,083703/39/6,Southern
"Johnson, Brown and Hartman",08464209238,William Campbell,087448/22/7,Southern
"Johnson, Brown and Hartman",08464209238,Dennis Nichols,081116/19/4,Southern
"Johnson, Brown and Hartman",08464209238,Nicholas Rich,087099/80/5,Southern
"Johnson, Brown and Hartman",08464209238,Mike Hill,086867/82/7,Southern
"Johnson, Brown and Hartman",08464209238,Ryan Wilson,085389/51/1,Southern
